Transaction Date,Posting Date,Description,Debits,Credits,Balance
2024-01-05,2024-01-06,Grocery Store,-125.50,,2874.50
2024-01-08,2024-01-09,Gas Station,-60.00,,2814.50
2024-01-10,2024-01-11,Coffee Shop,-15.75,,2798.75
2024-01-12,2024-01-13,Restaurant Dinner,-85.00,,2713.75
2024-01-15,2024-01-16,Salary Deposit,,3000.00,5713.75
2024-01-18,2024-01-19,Electric Bill,-120.00,,5593.75
2024-01-20,2024-01-21,Online Shopping,-250.00,,5343.75
2024-01-22,2024-01-23,Pharmacy,-45.25,,5298.50
2024-01-25,2024-01-26,Gym Membership,-50.00,,5248.50
2024-01-28,2024-01-29,Grocery Store,-135.80,,5112.70
2024-02-01,2024-02-02,Rent Payment,-1200.00,,3912.70
2024-02-05,2024-02-06,Internet Bill,-80.00,,3832.70
2024-02-08,2024-02-09,Gas Station,-55.00,,3777.70
2024-02-10,2024-02-11,Coffee Shop,-12.50,,3765.20
2024-02-15,2024-02-16,Salary Deposit,,3000.00,6765.20
